"Deck ID","Deck URL","Colours"
"20 Ways to Win (Secret Lair Commander 2024 Precon Deckli","https://moxfield.com/decks/AdqYsfYv-EKQE3RNbPoRuQ","Black,Blue,Green,Red,White"
"Abzan Armor (Tarkir Dragonstorm Commander Precon Decklis","https://moxfield.com/decks/HRkJg22HtkC8VhQ49cHIMg","Black,Green,White"
"Adaptive Enchantment","https://moxfield.com/decks/fVwQLD6CyU6YhEzQfQWzJw","Blue,Green,White"
"Ahoy Mateys (The Lost Caverns of Ixalan Commander Precon","https://moxfield.com/decks/JvChR5Ti-0WW5QE3PD29hA","Black,Blue,Red"
"Angels: They're Just Like Us, but Cooler and with Wings","https://moxfield.com/decks/uVAqU3YPRkuuIhT8t3Cm9Q","White"
"Animated Army","https://moxfield.com/decks/GAnCfVPj7EGXBf4ftLgn-A","Green,Red"
"Arcane Maelstrom","https://moxfield.com/decks/tNJbhqMb_U-azRDNGIBooA","Blue,Green,Red"
"Arcane Wizardry","https://moxfield.com/decks/8c7doWGiAE6zVNPRbPryDw","Black,Blue,Red"
"Arm for Battle","https://moxfield.com/decks/B5nugPBRnkWIookZqo9N4g","Red,White"
"Aura of Courage (Adventures in the Forgotten Realms Comm","https://moxfield.com/decks/C-kanWXqiE2nxFWMEouhAw","Blue,Green,White"
"Bedecked Brokers (Streets of New Capenna Commander Preco","https://moxfield.com/decks/LMu_N7hy3UWNP-HBkaw_xQ","Blue,Green,White"
"Blame Game (Murders at Karlov Manor Commander Precon Dec","https://moxfield.com/decks/BPBVD7NsT0SznrmdG4l3Tw","Red,White"
"Blast from the Past (Doctor Who Commander Precon Decklis","https://moxfield.com/decks/EDdBpyjUFUOBH2ZoOzAkxA","Blue,Green,White"
"Blood Rites (The Lost Caverns of Ixalan Commander Preco","https://moxfield.com/decks/OpCAH5tOAk6UznEeBm2y2Q","Black,White"
"Breed Lethality","https://moxfield.com/decks/VxCoYahRlUa2PjWX9fb53A","Black,Blue,Green,White"
"Breed Lethality","https://moxfield.com/decks/ycs0QP5BTkWbs7hXNcTUdw","Black,Blue,Green,White"
"Buckle Up (Kamigawa: Neon Dynasty Commander Precon Deckl","https://moxfield.com/decks/QTZDODqtBUOQGIoEbEDbCQ","Blue,White"
"Built from Scratch","https://moxfield.com/decks/dDRyzSWi_kegywH3X_WtQA","Red"
"Built from Scratch (Commander Anthology 2 Precon Decklis","https://moxfield.com/decks/UMBPmBxxhUy3a4gK1vKUXQ","Red"
